Name,Geometry
3:16 Church,"1.277742,103.8454328"
Abundant Grace Presbyterian Church,"1.3976007,103.8713879"
Abundant Life Bible-Presbyterian Church,"1.4448297,103.7751441"
Acts Baptist Church,"1.270418,103.8110836"
Adam Road Presbyterian Centre,"1.3275583,103.8113318"
Agape Baptist Church,"1.3119067,103.8477701"
Agape Methodist Church,"1.326983,103.7225763"
Aldersgate Methodist Church,"1.3004465,103.782764"
Alive Community Church,"1.2819259,103.8396912"
All Saints Memorial Chapel,"1.3651615,103.8825155"
All Saints Presbyterian Church,"1.293581,103.8465103"
All Saints' Church (Chinese Congregation),"1.3306118,103.9388984"
All Saints' Church (English Congregation),"1.3308112,103.9390017"
Amazing Grace Presbyterian Church,"1.314406,103.9373163"
Ang mo Kio Methodist Church,"1.367176,103.8332753"
Angora Brethren Chapel,"1.2804502,103.7835385"
Armenian Church of St. Gregory the Illuminator,"1.2931667,103.8470696"
Assemblies of God Church - Church of Christ the Rock,"1.3329318,103.8918947"
Assemblies of God Church - Sembawang Assembly of God,"1.4440039,103.8118611"
Assemblies of God Church - Shekinah Assembly of God,"1.287631,103.8012345"
Assemblies of God Church - Trinity @ Adam,"1.3292151,103.8336932"
Assemblies of God Church - Trinity @ Paya Lebar,"1.3311695,103.8540218"
Assembly Of Christians,"1.362752,103.8556455"
Balestier Road Seventh-day Adventist Church,"1.3193436,103.8521081"
Baptist Fellowship Church,"1.3640971,103.8698662"
Barker Road Methodist Church,"1.3191085,103.8325978"
Bartley Christian Church,"1.3440411,103.8763221"
Bedok Church of Christ,"1.33336,103.9161758"
Bedok Lutheran Church,"1.3210671,103.9379989"
Bedok Methodist Church,"1.323675,103.9516083"
Bethany Church Singapore,"1.3064407,103.8312399"
Bethany Evangelical Free Church,"1.319219,103.9217389"
Bethany Independent-Presbyterian Church,"1.3443473,103.8797899"
Bethany Presbyterian Church,"1.348263,103.8804198"
Bethany Trinity Presbyterian Church,"1.3565149,103.8816611"
Bethel Assembly of God Church,"1.3216667,103.8847557"
Bethel Presbyterian Church,"1.3464208,103.8687748"
Bethesda (Bedok-Tampines) Church,"1.3309409,103.9325312"
Bethesda (Frankel Estate) Church,"1.3168882,103.9162165"
Bethesda (Katong) Church,"1.309011,103.9008151"
Bethesda (Serangoon) Church,"1.35544,103.8791035"
Bethesda Cathedral,"1.3289423,103.9211829"
Bethesda Chapel,"1.3206525,103.9080864"
Bethesda Church Bukit Arang,"1.3494732,103.8676654"
Bethesda Hall (Ang Mo Kio),"1.3745687,103.8352767"
Bethesda Pasir Ris Mission Church,"1.3678244,103.9623804"
Bethlehem Bible-Presbyterian Church,"1.323441,103.814752"
Blessed Sacrament Church,"1.29551,103.7992096"
Breakthrough Mission Church,"1.278355,103.792508"
Brighton Community Church,"1.3094486,103.8563487"
Bukit Batok Presbyterian Church,"1.3492122,103.7431703"
Bukit Panjang Gospel Church,"1.3777561,103.7570959"
Bukit Panjang Methodist Church,"1.3611829,103.7671595"
Cairnhill Methodist Church,"1.309982,103.8395902"
Calvary Assembly Of God,"1.3151032,103.9407613"
Calvary Baptist Church,"1.332476,103.8718928"
Calvary Bible-Presbyterian Church,"1.3332202,103.7236443"
Calvary Pandan Bible-Presbyterian Church,"1.3212323,103.7440537"
Calvary Tengah Bible-Presbyterian Church,"1.3981175,103.7086102"
Carmel Presbyterian Church,"1.3785519,103.9605708"
Cathedral of the Good Shepherd,"1.2960691,103.8490522"
Catholic Church of Holy Trinity,"1.3488407,103.9472026"
Central Christian Church,"1.4008669,103.9075141"
Changi Baptist Church,"1.3661514,103.9730264"
Changi Bethany Church,"1.3416619,103.9597661"
Chapel Of Christ The King (Anglican),"1.3204865,103.8073555"
Chapel of Christ the Redeemer,"1.3497139,103.9346409"
Chapel Of The Holy Spirit,"1.3336036,103.8613249"
Chapel Of The Resurrection,"1.3297798,103.8635865"
Charis Methodist Church,"1.312154,103.902687"
Charis Tabernacle,"1.3133295,103.8937009"
Chen Li Presbyterian Church,"1.3096907,103.8782739"
Cherith Baptist Church,"1.36407,103.8624813"
Christ Methodist,"1.31032,103.9140478"
Christalite Methodist Chapel,"1.3182946,103.8815216"
Christian Assembly,"1.3027697,103.8315855"
Christian Community Chapel Ltd,"1.2696272,103.8134739"
Church Arise,"1.281749,103.8190568"
Church Of Christ Jurong,"1.3445558,103.7109871"
Church Of Christ of Malaya,"1.301872,103.8464019"
Church of Christ Pasir Panjang,"1.289291,103.7738203"
Church Of Christ The King,"1.361963,103.8528425"
Church of Divine Mercy,"1.3802644,103.9338006"
Church Of Epiphany,"1.4020344,103.8691315"
Church Of God (Evangelical),"1.326325,103.9495703"
Church Of God Singapore,"1.291246,103.8136653"
Church Of Jesus Christ Of Latter-Day Saints,"1.314864,103.7666662"
Church of Our Lady of Lourdes,"1.303175,103.8535963"
Church of Our Lady of Perpetual Succour,"1.3206147,103.9165172"
Church of Our Lady Queen of Peace,"1.312242,103.8914473"
Church of Our Lady Star of the Sea,"1.4373098,103.8354234"
Church of Our Savior,"1.2988589,103.8009153"
Church of Praise,"1.3107458,103.8619866"
Church Of Saint Peter & Paul,"1.2976089,103.8493762"
Church Of Singapore (Bukit Timah),"1.3444397,103.7755291"
Church of St Anthony,"1.4291113,103.7796876"
Church of St Bernadette,"1.294596,103.8281963"
Church of St Francis of Assisi,"1.3479955,103.7088937"
Church of St Francis Xavier,"1.3586402,103.8614322"
Church of St Ignatius,"1.3178328,103.8033728"
Church of St Mary of the Angels,"1.3472864,103.7571914"
Church of St Michael,"1.3262792,103.8607539"
Church of St Stephen,"1.3257703,103.8809921"
Church of St Teresa,"1.2732941,103.825956"
Church of St Vincent de Paul,"1.3823141,103.8741822"
Church of St. Alphonsus (Novena Church),"1.3216507,103.8404672"
Church of Sts Peter and Paul,"1.2976089,103.8493762"
Church of the Ascension,"1.3302803,103.8637778"
Church Of The Epiphany,"1.4020344,103.8691315"
Church of the Holy Cross,"1.307697,103.7685363"
Church of the Holy Family,"1.3065018,103.9044675"
Church of the Holy Spirit,"1.3545005,103.8313671"
Church of the Immaculate Heart of Mary,"1.3563882,103.8755884"
Church of the Nativity of the Blessed Virgin Mary,"1.3734919,103.8962356"
Church of the Risen Christ,"1.3348924,103.8485553"
Church of the Sacred Heart,"1.2960021,103.841218"
Church of the True Light,"1.305354,103.8516769"
City Harvest Church,"1.2972201,103.79255"
City Harvest Church @ Suntec Singapore,"1.2972201,103.79255"
Community of Praise Baptist Church,"1.3078105,103.7763873"
Cornerstone Community Church,"1.3044863,103.8997947"
Coronation Baptist Church,"1.3138645,103.8807429"
Covenant Church of Christ,"1.3125499,103.8760709"
Covenant Community Methodist Church,"1.3330492,103.7807554"
Covenant Evangelical Free Church,"1.3827146,103.7951128"
Covenant Vision Christian Church,"1.3124101,103.8607581"
Crystal Tabernacle,"1.2894509,103.7727333"
Ebenezer Church,"1.2731791,103.7283579"
ECF Holy Word Ltd,"1.334062,103.8759763"
Eden Bible-Presbyterian Church,"1.3147043,103.8801473"
Elim Assembly of God,"1.3237,103.8622113"
Elim Bible-Presbyterian Church,"1.312934,103.8238303"
Emmanuel Assembly of God,"1.3144447,103.930115"
Emmanuel Bible Presbyterian Church & Kindergarden,"1.3502896,103.840909"
Emmanuel Church of Singapore,"1.3124509,103.8886091"
Emmanuel Evangelical Church,"1.3340619,103.8606554"
Emmaus Evangelical Free Church,"1.3258302,103.8892309"
Eternal Life Baptist Church,"1.3245506,103.8510945"
Evangel Baptist Church,"1.3145088,103.8799954"
Evangel Bible-Presbyterian Church,"1.3283874,103.7507773"
Fairfield Methodist Church,"1.2799593,103.8442658"
Faith Assembly of God,"1.3239709,103.850098"
Faith Bible Presbyterian Church,"1.3673599,103.8624306"
Faith Community Baptist Church,"1.302136,103.9073724"
Faith Methodist Church,"1.3028297,103.7952134"
Family of Grace Evangelical Free Church,"1.4348345,103.8006346"
First Evangelical Reformed Church,"1.381574,103.8312473"
Foochow Methodist Church,"1.3090534,103.8493708"
Free Community Church,"1.3044142,103.7946991"
Full Gospel Assembly,"1.3341295,103.8844075"
Full Gospel Korean Church,"1.3313734,103.8866898"
Galilee Bible Presbyterian Church,"1.321681,103.7440733"
Gethsemane Bible-Presbyterian Church,"1.319291,103.8926303"
Geylang Chinese Methodist Church,"1.3156067,103.8799048"
Geylang Church of Christ,"1.314419,103.8828863"
Geylang Evangelical Free Church,"1.3146255,103.8847871"
GK611 (God's Kingdom Bread of Life Church),"1.3486884,103.8413277"
Glad Tidings Church ?????,"1.3620542,103.885432"
Glory Joy Christian Church,"1.4401333,103.8242289"
Glory Presbyterian Church,"1.338634,103.7739936"
Good News Baptist Church,"1.3295624,103.8785795"
Good Shepherd Convent Marymount Centre,"1.3405537,103.8570212"
Gospel Light Bible-Presbyterian Church,"1.316545,103.8242603"
Gospel Light Christian Church,"1.3914924,103.9114869"
Grace (SCC) Church,"1.2978365,103.850156"
Grace Assembly of God (Bukit Batok),"1.364998,103.7471286"
Grace Assembly of God (Tanglin),"1.2942664,103.7812939"
Grace Baptist Church,"1.3254489,103.8803134"
Grace Bible-Presbyterian Church,"1.3199161,103.9535693"
Grace Independent Baptist Church,"1.3366946,103.9553342"
Grace Methodist Church,"1.2696475,103.811991"
Hakka Methodist Church,"1.3155653,103.8398171"
Harborlight Church,"1.303884,103.9022086"
Harvester Baptist Church,"1.34439,103.8694427"
Heart of God Church,"1.3200744,103.897327"
Hebron Bible Presbyterian,"1.3946912,103.7438625"
Herald Assembly of God,"1.3087982,103.8751057"
Hinghwa Methodist Church,"1.3084229,103.8563883"
His Sanctuary,"1.3171595,103.8652476"
